 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 26 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19960107 1200 26.01 1 1
 19960108 1200 25.70 1 1
 19960109 1200 25.64 1 1
 19960110 1200 25.68 1 1
 19960111 1200 25.82 1 1
 19960112 1200 -9.99 0 0
 19960113 1200 -9.99 0 0
 19960114 1200 25.96 1 5
 19960115 1200 25.87 1 5
 19960116 1200 25.99 1 5
 19960117 1200 26.06 1 5
 19960118 1200 26.20 1 5
 19960119 1200 26.25 1 5
 19960120 1200 26.31 1 5
 19960121 1200 26.38 1 5
 19960122 1200 26.33 1 5
 19960123 1200 26.15 1 5
 19960124 1200 25.94 1 5
 19960125 1200 26.01 1 5
 19960126 1200 25.75 1 5
 19960127 1200 25.41 1 5
 19960128 1200 25.90 1 5
 19960129 1200 26.19 1 5
 19960130 1200 26.22 1 5
 19960131 1200 26.40 1 5
 19960201 1200 26.76 1 5
 19960202 1200 26.71 1 5
 19960203 1200 26.62 1 5
 19960204 1200 26.50 1 5
 19960205 1200 26.65 1 5
 19960206 1200 26.71 1 5
 19960207 1200 26.58 1 5
 19960208 1200 26.22 1 5
 19960209 1200 26.27 1 5
 19960210 1200 26.81 1 5
 19960211 1200 26.28 1 5
 19960212 1200 25.08 1 5
 19960213 1200 25.63 1 5
 19960214 1200 26.38 1 5
 19960215 1200 26.60 1 5
 19960216 1200 26.45 1 5
 19960217 1200 26.13 1 5
 19960218 1200 26.29 1 5
 19960219 1200 27.10 1 5
 19960220 1200 27.66 1 5
 19960221 1200 27.86 1 5
 19960222 1200 27.38 1 5
 19960223 1200 27.60 1 5
 19960224 1200 27.72 1 5
 19960225 1200 27.11 1 5
 19960226 1200 27.04 1 5
 19960227 1200 26.98 1 5
 19960228 1200 27.00 1 5
 19960229 1200 26.93 1 5
 19960301 1200 26.99 1 5
 19960302 1200 27.45 1 5
