 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920813 1200  -4.1   0.9   4.2 281.9 12 55
 19920814 1200  -5.1   1.2   5.3 283.5 12 55
 19920815 1200  -5.3   1.3   5.5 283.8 12 55
 19920816 1200  -6.0   0.2   6.0 271.8 12 55
 19920817 1200  -5.9   0.7   5.9 276.8 12 55
 19920818 1200  -6.7   1.8   6.9 284.9 12 55
 19920819 1200  -6.4   1.7   6.6 285.1 12 55
 19920820 1200  -5.7   2.0   6.1 289.4 12 55
 19920821 1200  -6.7   0.8   6.8 276.5 12 55
 19920822 1200  -5.2  -0.3   5.2 266.8 12 55
 19920823 1200  -3.1   0.5   3.1 279.3 12 55
 19920824 1200  -3.8   1.9   4.3 297.1 12 55
 19920825 1200  -4.5   1.5   4.7 287.9 12 55
 19920826 1200  -5.3   0.5   5.3 274.8 12 55
 19920827 1200  -6.2   0.7   6.2 276.6 12 55
 19920828 1200  -6.9   0.4   6.9 273.0 12 55
 19920829 1200  -7.9   0.6   7.9 274.6 12 55
 19920830 1200  -7.9   3.0   8.4 290.6 12 55
 19920831 1200  -7.5   3.1   8.1 292.4 12 55
 19920901 1200  -5.4   4.0   6.7 306.9 12 55
 19920902 1200  -5.7   3.9   6.9 304.6 12 55
 19920903 1200  -6.5   2.5   7.0 291.5 12 55
 19920904 1200  -5.3   4.2   6.8 308.4 12 55
 19920905 1200  -6.0   3.1   6.8 297.2 12 55
 19920906 1200  -6.5   0.5   6.5 274.2 12 55
 19920907 1200  -5.8  -2.7   6.4 245.0 12 55
 19920908 1200  -4.7  -2.6   5.4 241.0 12 55
 19920909 1200  -3.3  -3.1   4.5 226.4 12 55
 19920910 1200  -2.0  -3.0   3.6 213.4 12 55
 19920911 1200  -2.1  -2.8   3.5 216.9 12 55
 19920912 1200  -5.7   0.5   5.7 274.6 12 55
 19920913 1200  -6.2   1.3   6.3 282.1 12 55
 19920914 1200  -6.5   1.0   6.6 278.5 12 55
 19920915 1200  -6.0   1.6   6.2 284.7 12 55
 19920916 1200  -7.1   2.2   7.4 287.0 12 55
 19920917 1200  -7.0   2.4   7.5 289.1 12 55
 19920918 1200  -6.6   1.1   6.7 279.9 12 55
 19920919 1200  -7.0   1.4   7.1 280.9 12 55
 19920920 1200  -6.4   0.8   6.5 276.9 12 55
 19920921 1200  -6.3   2.9   7.0 294.9 12 55
 19920922 1200  -6.1   1.3   6.2 282.2 12 55
 19920923 1200  -4.8  -0.1   4.8 268.7 12 55
 19920924 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19920925 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19920926 1200  -6.1   1.7   6.4 285.4 12 55
 19920927 1200  -6.9   0.9   6.9 277.4 12 55
 19920928 1200  -4.8  -1.5   5.0 253.2 12 55
 19920929 1200  -5.7   0.7   5.7 276.6 12 55
 19920930 1200  -6.0   1.0   6.1 279.4 12 55
 19921001 1200  -5.5   1.4   5.7 284.5 12 55
 19921002 1200  -5.7  -0.3   5.7 266.7 12 55
 19921003 1200  -5.8  -2.0   6.1 250.9 12 55
 19921004 1200  -6.3  -0.8   6.3 262.7 12 55
 19921005 1200  -6.9   0.2   6.9 271.3 12 55
 19921006 1200  -7.4   0.7   7.4 275.4 12 55
 19921007 1200  -7.6   0.2   7.6 271.7 12 55
 19921008 1200  -7.7  -1.2   7.8 261.4 12 55
 19921009 1200  -7.6  -0.9   7.7 263.4 12 55
 19921010 1200  -7.5  -1.5   7.7 259.0 12 55
 19921011 1200  -7.9  -1.3   8.0 260.6 12 55
 19921012 1200  -5.0  -1.6   5.2 252.0 12 55
 19921013 1200  -3.6   0.2   3.6 272.7 12 55
 19921014 1200  -4.2  -0.2   4.2 267.1 12 55
 19921015 1200  -4.9  -0.4   4.9 265.1 12 55
 19921016 1200  -5.8   0.4   5.8 273.9 12 55
 19921017 1200  -6.5   0.4   6.5 273.3 12 55
 19921018 1200  -6.0  -0.1   6.0 269.4 12 55
 19921019 1200  -5.9   0.2   5.9 272.4 12 55
 19921020 1200  -5.4   1.3   5.6 283.2 12 55
 19921021 1200  -5.3   1.6   5.5 286.5 12 55
 19921022 1200  -6.5   1.0   6.5 278.5 12 55
 19921023 1200  -7.3   1.0   7.4 277.6 12 55
 19921024 1200  -7.8   0.8   7.8 276.0 12 55
 19921025 1200  -8.1   1.8   8.3 282.4 12 55
 19921026 1200  -8.3   0.4   8.3 273.0 12 55
 19921027 1200  -7.6  -1.8   7.8 256.8 12 55
 19921028 1200  -7.4   0.5   7.4 273.9 12 55
 19921029 1200  -7.3   0.1   7.3 270.8 12 55
 19921030 1200  -7.0  -0.5   7.0 266.2 12 55
 19921031 1200  -6.8   0.6   6.8 274.7 12 55
 19921101 1200  -7.9   0.7   8.0 275.2 12 55
 19921102 1200  -6.0   2.1   6.3 289.2 12 55
 19921103 1200  -5.5   1.6   5.7 286.6 12 55
 19921104 1200  -3.5   0.1   3.5 271.8 12 55
 19921105 1200  -4.4   0.2   4.4 273.1 12 55
 19921106 1200  -4.7   0.8   4.8 279.5 12 55
 19921107 1200  -4.8   0.0   4.8 269.5 12 55
 19921108 1200  -3.7   0.3   3.7 274.8 12 55
 19921109 1200  -5.1  -0.1   5.1 269.1 12 55
 19921110 1200  -5.1  -0.7   5.1 261.9 12 55
 19921111 1200  -6.5  -1.5   6.7 257.1 12 55
 19921112 1200  -5.7   2.6   6.2 294.5 12 55
 19921113 1200  -6.5   2.9   7.1 294.2 12 55
 19921114 1200  -7.2   1.0   7.3 277.9 12 55
